Item ID,File Name,W: First,W: Last,R: First,R: Last,R: City,R: Country,L: Date,L: Language,L: City,L: Country,Description,O/C/D/X,MS/TS/P,ERH,pages,MRH,pages,Other 1,Other 2,Other 3,To Others,pages,Total L,Total p,Enclosures,Note1,Note2,Rauner Item ID,"URLw/Bio,etc",Archive Location,Copyright Holder
RL-219,1914-03-99-FR-ERH-ZRL-a,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,0,0,0,0,1,0,0,0,8,1,8,,Pages out of order?,,MS522-82-1-0001,,,
RL-220,1914-03-99-FR-ERH-ZRL-b,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0002,,,
RL-225,1914-03-99-FR-ERH-ZRL-c,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0007,,,
RL-226,1914-03-99-FR-ERH-ZRL-d,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0008,,,
RL-221,1914-03-99-FR-ERH-ZRL-e,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0003,,,
RL-222,1914-03-99-FR-ERH-ZRL-f,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0004,,,
RL-223,1914-03-99-FR-ERH-ZRL-g,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0005,,,
RL-224,1914-03-99-FR-ERH-ZRL-h,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 March,German,unknown,unknown,,O,MS,,,,,,,,,,1,8,,,,MS522-82-1-0006,,,
RL-227,1914-05-16-FR-ERH-ZRL-a,Franz,Rosenzweig,Eugen,Rosenstock,Leipzig,Germany,1914 May 16,German,Berlin,Germany,,O,MS,0,0,0,0,1,0,0,0,2,2,10,,Postcard,,MS522-82-1-0009,,,
RL-228,1914-05-16-FR-ERH-ZRL-b,Franz,Rosenzweig,Eugen,Rosenstock,Leipzig,Germany,1914 May 16,German,Berlin,Germany,,O,MS,,,,,,,,,,2,10,,Postcard,,MS522-82-1-0010,,,
RL-229,1914-08-99-FR-ERH-ZRL-a,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 August,German,unknown,unknown,,O,MS,0,0,0,0,1,0,0,0,3,3,13,,,,MS522-82-1-0011,,,
RL-230,1914-08-99-FR-ERH-ZRL-b,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 August,German,unknown,unknown,,O,MS,,,,,,,,,,3,13,,,,MS522-82-1-0012,,,
RL-231,1914-08-99-FR-ERH-ZRL-c,Franz,Rosenzweig,Eugen,Rosenstock,unknown,unknown,1914 August,German,unknown,unknown,,O,MS,,,,,,,,,,3,13,,,,MS522-82-1-0013,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTALS,,,0,0,0,0,3,0,0,0,13,3,13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,